gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
BDKRB2	5.11799	1.52035	5.46383	6.20254	5.84644	6.04973	6.02587	4.5567	4.31332	5.9108	4.73007	5.82305	5.65599	6.61473	5.67675	5.51745	4.50234	2.83726	6.16331
BDNFOS	4.86275	5.45903	4.96655	5.66251	4.5694	6.05388	5.13262	4.01898	6.36683	4.70374	4.43853	5.49042	6.77366	5.06771	5.76092	5.44992	5.12622	4.50446	5.75032
BDNF	5.4563	2.24438	4.76367	3.77187	2.24438	4.16656	5.45335	6.41218	3.10634	3.58641	1.23664	3.70734	4.33405	5.33364	3.66568	2.94407	2.18609	3.0579	4.57456
BDP1	7.99328	7.62608	6.65801	8.56312	9.40327	8.15335	6.69084	6.65157	7.43189	7.14677	7.26473	7.4725	7.61283	7.83953	7.2807	7.88833	7.65349	6.54247	7.45182
BEAN	2.86975	4.21025	4.44181	5.74939	4.51839	4.71569	2.66922	2.12491	3.86296	4.06157	2.46424	5.84644	5.11799	3.01988	5.05625	4.33208	3.22973	3.3148	4.40118
BECN1	7.66589	7.79352	7.56396	8.03778	8.7618	8.27141	8.49306	7.58166	7.87312	8.4231	7.33602	7.62713	8.30234	7.86533	7.94471	8.18978	7.73898	7.04823	7.89781
BEGAIN	1.95006	0.86117	2.32335	4.44328	1.03733	4.47175	6.14204	6.95655	4.29196	5.80513	1.78791	4.70873	6.87936	4.5694	5.70044	4.80773	4.65616	3.38314	5.23111
BEND2	0	0	0	0.611242	0	0	0	0.401296	0	0.540568	0	0.9328	3.83728	0.437777	0.401296	0	0	0	0
BEND3	7.61382	7.8808	6.46925	8.03916	7.58172	7.4725	6.84482	7.30384	7.47477	7.19744	6.44413	7.14756	8.673	8.15966	6.71417	6.6995	6.79906	5.75257	7.64969
BEND4	2.75372	0.921691	1.72934	3.37425	0.145926	2.49758	0.611242	2.96937	0.690404	0.474259	0.733085	0.769566	7.38709	0	3.5757	3.55362	3.1889	0	0.767143
